observation_date,ECIWAG
2001-01-01,87.6
2001-04-01,88.4
2001-07-01,89.2
2001-10-01,90.0
2002-01-01,90.7
2002-04-01,91.6
2002-07-01,92.0
2002-10-01,92.3
2003-01-01,93.3
2003-04-01,93.8
2003-07-01,94.7
2003-10-01,95.2
2004-01-01,95.7
2004-04-01,96.4
2004-07-01,97.2
2004-10-01,97.7
2005-01-01,98.3
2005-04-01,98.8
2005-07-01,99.4
2005-10-01,100.1
2006-01-01,100.8
2006-04-01,101.6
2006-07-01,102.5
2006-10-01,103.3
2007-01-01,104.3
2007-04-01,105.1
2007-07-01,105.9
2007-10-01,106.7
2008-01-01,107.6
2008-04-01,108.4
2008-07-01,109.0
2008-10-01,109.5
2009-01-01,109.8
2009-04-01,110.1
2009-07-01,110.5
2009-10-01,111.0
2010-01-01,111.4
2010-04-01,111.9
2010-07-01,112.3
2010-10-01,112.9
2011-01-01,113.2
2011-04-01,113.7
2011-07-01,114.2
2011-10-01,114.7
2012-01-01,115.3
2012-04-01,115.8
2012-07-01,116.3
2012-10-01,116.7
2013-01-01,117.4
2013-04-01,118.0
2013-07-01,118.4
2013-10-01,119.1
2014-01-01,119.4
2014-04-01,120.2
2014-07-01,121.1
2014-10-01,121.8
2015-01-01,122.6
2015-04-01,122.8
2015-07-01,123.6
2015-10-01,124.3
2016-01-01,125.1
2016-04-01,126.0
2016-07-01,126.6
2016-10-01,127.3
2017-01-01,128.2
2017-04-01,129.0
2017-07-01,129.9
2017-10-01,130.8
2018-01-01,132.0
2018-04-01,132.8
2018-07-01,133.9
2018-10-01,134.9
2019-01-01,135.8
2019-04-01,136.8
2019-07-01,137.9
2019-10-01,138.9
2020-01-01,140.3
2020-04-01,140.8
2020-07-01,141.6
2020-10-01,142.8
2021-01-01,144.5
2021-04-01,145.8
2021-07-01,148.0
2021-10-01,149.9
2022-01-01,151.7
2022-04-01,154.0
2022-07-01,155.8
2022-10-01,157.6
2023-01-01,159.4
2023-04-01,161.1
2023-07-01,162.7
2023-10-01,164.4
2024-01-01,166.2
2024-04-01,167.6
2024-07-01,168.9
2024-10-01,170.4
